Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_KM,Chrome 94.0.4606.71,,,2021-10-08 09:46:22,2021-10-08 09:48:55,2m - 32.648s,PASSED
,,,,,,,
Test Cases/KM/TC_KM_WEB_01_US_PRD,Chrome 94.0.4606.71,,,2021-10-08 09:46:23,2021-10-08 09:47:21,57.731s,PASSED
"openBrowser("""")",Chrome 94.0.4606.71,,,2021-10-08 09:46:24,2021-10-08 09:46:28,4.473s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 94.0.4606.71,,,2021-10-08 09:46:28,2021-10-08 09:46:28,0.199s,PASSED
"navigateToUrl(""https://km2.myeyelevel.com/"")",Chrome 94.0.4606.71,,,2021-10-08 09:46:28,2021-10-08 09:46:29,0.972s,PASSED
"setText(findTestObject(""Object Repository/KM/OR_KM_WEB_01_US_PRD/Page_KeyManager ver.2/input_Remember ID_id""), ""FC00001854"")",Chrome 94.0.4606.71,,,2021-10-08 09:46:29,2021-10-08 09:46:32,2.299s,PASSED
"setEncryptedText(findTestObject(""Object Repository/KM/OR_KM_WEB_01_US_PRD/Page_KeyManager ver.2/input_Remember ID_password""), ""/TCuZW3inmPEvew6k7Utpg=="")",Chrome 94.0.4606.71,,,2021-10-08 09:46:32,2021-10-08 09:46:32,0.550s,PASSED
"sendKeys(findTestObject(""Object Repository/KM/OR_KM_WEB_01_US_PRD/Page_KeyManager ver.2/input_Remember ID_password""), Keys.chord(ENTER))",Chrome 94.0.4606.71,,,2021-10-08 09:46:32,2021-10-08 09:46:33,1.243s,PASSED
delay(2),Chrome 94.0.4606.71,,,2021-10-08 09:46:33,2021-10-08 09:46:36,2.083s,PASSED
"click(findTestObject(""Object Repository/KM/OR_KM_WEB_01_US_PRD/Page_KeyManager ver.2/a_Student""))",Chrome 94.0.4606.71,,,2021-10-08 09:46:36,2021-10-08 09:47:10,34.739s,PASSED
delay(2),Chrome 94.0.4606.71,,,2021-10-08 09:47:10,2021-10-08 09:47:12,2.011s,PASSED
"click(findTestObject(""Object Repository/KM/OR_KM_WEB_01_US_PRD/Page_KeyManager ver.2/a_Member""))",Chrome 94.0.4606.71,,,2021-10-08 09:47:12,2021-10-08 09:47:15,2.225s,PASSED
delay(2),Chrome 94.0.4606.71,,,2021-10-08 09:47:15,2021-10-08 09:47:17,2.016s,PASSED
"click(findTestObject(""Object Repository/KM/OR_KM_WEB_01_US_PRD/Page_KeyManager ver.2/a_Log out""))",Chrome 94.0.4606.71,,,2021-10-08 09:47:17,2021-10-08 09:47:18,1.199s,PASSED
delay(2),Chrome 94.0.4606.71,,,2021-10-08 09:47:18,2021-10-08 09:47:20,2.022s,PASSED
closeBrowser(STOP_ON_FAILURE),Chrome 94.0.4606.71,,,2021-10-08 09:47:20,2021-10-08 09:47:21,0.773s,PASSED
,,,,,,,
Test Cases/KM/TC_KM_WEB_02_US_KEYPAD,Chrome 94.0.4606.71,,,2021-10-08 09:47:21,2021-10-08 09:47:33,12.801s,PASSED
"openBrowser("""")",Chrome 94.0.4606.71,,,2021-10-08 09:47:21,2021-10-08 09:47:23,1.359s,PASSED
maximizeWindow(),Chrome 94.0.4606.71,,,2021-10-08 09:47:23,2021-10-08 09:47:23,0.145s,PASSED
"navigateToUrl(""https://km2-att.myeyelevel.com/"")",Chrome 94.0.4606.71,,,2021-10-08 09:47:23,2021-10-08 09:47:25,1.982s,PASSED
"setText(findTestObject(""Object Repository/KM/OR_KM_WEB_02_US_KEYPAD/Page_KeyManager ver.2/input_Remember ID_id""), ""FC00001854"")",Chrome 94.0.4606.71,,,2021-10-08 09:47:25,2021-10-08 09:47:26,0.784s,PASSED
"setEncryptedText(findTestObject(""Object Repository/KM/OR_KM_WEB_02_US_KEYPAD/Page_KeyManager ver.2/input_Remember ID_password""), ""/TCuZW3inmPEvew6k7Utpg=="")",Chrome 94.0.4606.71,,,2021-10-08 09:47:26,2021-10-08 09:47:26,0.482s,PASSED
"sendKeys(findTestObject(""Object Repository/KM/OR_KM_WEB_02_US_KEYPAD/Page_KeyManager ver.2/input_Remember ID_password""), Keys.chord(ENTER))",Chrome 94.0.4606.71,,,2021-10-08 09:47:26,2021-10-08 09:47:28,1.802s,PASSED
delay(2),Chrome 94.0.4606.71,,,2021-10-08 09:47:28,2021-10-08 09:47:30,2.008s,PASSED
"navigateToUrl(""https://km2-att.myeyelevel.com/actionLogout.do"")",Chrome 94.0.4606.71,,,2021-10-08 09:47:30,2021-10-08 09:47:31,0.662s,PASSED
delay(2),Chrome 94.0.4606.71,,,2021-10-08 09:47:31,2021-10-08 09:47:33,2.018s,PASSED
closeBrowser(STOP_ON_FAILURE),Chrome 94.0.4606.71,,,2021-10-08 09:47:33,2021-10-08 09:47:33,0.751s,PASSED
,,,,,,,
Test Cases/KM/TC_KM_WEB_03_US_ADMIN,Chrome 94.0.4606.71,,,2021-10-08 09:47:33,2021-10-08 09:47:58,24.226s,PASSED
"openBrowser("""")",Chrome 94.0.4606.71,,,2021-10-08 09:47:34,2021-10-08 09:47:36,1.324s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 94.0.4606.71,,,2021-10-08 09:47:36,2021-10-08 09:47:36,0.136s,PASSED
"navigateToUrl(""http://km2-admin.myeyelevel.com:8090/"")",Chrome 94.0.4606.71,,,2021-10-08 09:47:36,2021-10-08 09:47:37,0.962s,PASSED
"setText(findTestObject(""Object Repository/KM/OR_KM_WEB_03_US_ADMIN/Page_KeyManager ver.2/input_Remember ID_id""), ""ADMIN"")",Chrome 94.0.4606.71,,,2021-10-08 09:47:37,2021-10-08 09:47:38,1.283s,PASSED
"setEncryptedText(findTestObject(""Object Repository/KM/OR_KM_WEB_03_US_ADMIN/Page_KeyManager ver.2/input_Remember ID_password""), ""mL+epSfaRG7bBFAcGJ9SYw=="")",Chrome 94.0.4606.71,,,2021-10-08 09:47:38,2021-10-08 09:47:38,0.509s,PASSED
"sendKeys(findTestObject(""Object Repository/KM/OR_KM_WEB_03_US_ADMIN/Page_KeyManager ver.2/input_Remember ID_password""), Keys.chord(ENTER))",Chrome 94.0.4606.71,,,2021-10-08 09:47:38,2021-10-08 09:47:40,1.401s,PASSED
delay(2),Chrome 94.0.4606.71,,,2021-10-08 09:47:40,2021-10-08 09:47:42,2.005s,PASSED
"click(findTestObject(""Object Repository/KM/OR_KM_WEB_03_US_ADMIN/Page_KeyManager ver.2/a_""))",Chrome 94.0.4606.71,,,2021-10-08 09:47:42,2021-10-08 09:47:43,0.886s,PASSED
delay(2),Chrome 94.0.4606.71,,,2021-10-08 09:47:43,2021-10-08 09:47:45,2.015s,PASSED
"click(findTestObject(""Object Repository/KM/OR_KM_WEB_03_US_ADMIN/Page_KeyManager ver.2/a_()""))",Chrome 94.0.4606.71,,,2021-10-08 09:47:45,2021-10-08 09:47:46,0.887s,PASSED
delay(2),Chrome 94.0.4606.71,,,2021-10-08 09:47:46,2021-10-08 09:47:48,2.010s,PASSED
"click(findTestObject(""Object Repository/KM/OR_KM_WEB_03_US_ADMIN/Page_KeyManager ver.2/a__1""))",Chrome 94.0.4606.71,,,2021-10-08 09:47:48,2021-10-08 09:47:48,0.783s,PASSED
delay(2),Chrome 94.0.4606.71,,,2021-10-08 09:47:48,2021-10-08 09:47:50,2.012s,PASSED
"click(findTestObject(""Object Repository/KM/OR_KM_WEB_03_US_ADMIN/Page_KeyManager ver.2/a__1_2""))",Chrome 94.0.4606.71,,,2021-10-08 09:47:50,2021-10-08 09:47:52,1.500s,PASSED
delay(2),Chrome 94.0.4606.71,,,2021-10-08 09:47:52,2021-10-08 09:47:54,2.015s,PASSED
"click(findTestObject(""Object Repository/KM/OR_KM_WEB_03_US_ADMIN/Page_KeyManager ver.2/a_Logout""))",Chrome 94.0.4606.71,,,2021-10-08 09:47:54,2021-10-08 09:47:55,0.976s,PASSED
delay(2),Chrome 94.0.4606.71,,,2021-10-08 09:47:55,2021-10-08 09:47:57,2.003s,PASSED
closeBrowser(STOP_ON_FAILURE),Chrome 94.0.4606.71,,,2021-10-08 09:47:57,2021-10-08 09:47:58,0.726s,PASSED
,,,,,,,
Test Cases/KM/TC_KM_WEB_04_CN_PRD,Chrome 94.0.4606.71,,,2021-10-08 09:47:58,2021-10-08 09:48:19,20.861s,PASSED
"openBrowser("""")",Chrome 94.0.4606.71,,,2021-10-08 09:47:58,2021-10-08 09:48:00,1.370s,PASSED
maximizeWindow(),Chrome 94.0.4606.71,,,2021-10-08 09:48:00,2021-10-08 09:48:00,0.143s,PASSED
"navigateToUrl(""http://cnkm.myeyelevel.com/"")",Chrome 94.0.4606.71,,,2021-10-08 09:48:00,2021-10-08 09:48:00,0.491s,PASSED
"setText(findTestObject(""Object Repository/KM/OR_KM_WEB_04_CN_PRD/Page_KeyManager ver.2/input__id""), ""FC00001854"")",Chrome 94.0.4606.71,,,2021-10-08 09:48:00,2021-10-08 09:48:03,2.087s,PASSED
"setEncryptedText(findTestObject(""Object Repository/KM/OR_KM_WEB_04_CN_PRD/Page_KeyManager ver.2/input__password""), ""/TCuZW3inmPEvew6k7Utpg=="")",Chrome 94.0.4606.71,,,2021-10-08 09:48:03,2021-10-08 09:48:03,0.548s,PASSED
"sendKeys(findTestObject(""Object Repository/KM/OR_KM_WEB_04_CN_PRD/Page_KeyManager ver.2/input__password""), Keys.chord(ENTER))",Chrome 94.0.4606.71,,,2021-10-08 09:48:03,2021-10-08 09:48:07,3.633s,PASSED
delay(2),Chrome 94.0.4606.71,,,2021-10-08 09:48:07,2021-10-08 09:48:09,2.019s,PASSED
"click(findTestObject(""Object Repository/KM/OR_KM_WEB_04_CN_PRD/Page_KeyManager ver.2/a_""))",Chrome 94.0.4606.71,,,2021-10-08 09:48:09,2021-10-08 09:48:10,1.343s,PASSED
delay(2),Chrome 94.0.4606.71,,,2021-10-08 09:48:10,2021-10-08 09:48:12,2.007s,PASSED
"click(findTestObject(""Object Repository/KM/OR_KM_WEB_04_CN_PRD/Page_KeyManager ver.2/a__1""))",Chrome 94.0.4606.71,,,2021-10-08 09:48:12,2021-10-08 09:48:13,0.915s,PASSED
delay(2),Chrome 94.0.4606.71,,,2021-10-08 09:48:13,2021-10-08 09:48:15,2.009s,PASSED
"click(findTestObject(""Object Repository/KM/OR_KM_WEB_04_CN_PRD/Page_KeyManager ver.2/a__1_2""))",Chrome 94.0.4606.71,,,2021-10-08 09:48:15,2021-10-08 09:48:16,0.752s,PASSED
delay(2),Chrome 94.0.4606.71,,,2021-10-08 09:48:16,2021-10-08 09:48:18,2.017s,PASSED
closeBrowser(),Chrome 94.0.4606.71,,,2021-10-08 09:48:18,2021-10-08 09:48:19,0.740s,PASSED
,,,,,,,
Test Cases/KM/TC_KM_WEB_05_CN_KEYPAD,Chrome 94.0.4606.71,,,2021-10-08 09:48:19,2021-10-08 09:48:30,11.154s,PASSED
"openBrowser("""")",Chrome 94.0.4606.71,,,2021-10-08 09:48:19,2021-10-08 09:48:21,1.388s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 94.0.4606.71,,,2021-10-08 09:48:21,2021-10-08 09:48:21,0.137s,PASSED
"navigateToUrl(""http://cnkm-att.myeyelevel.com/"")",Chrome 94.0.4606.71,,,2021-10-08 09:48:21,2021-10-08 09:48:21,0.181s,PASSED
"setText(findTestObject(""Object Repository/KM/OR_KM_WEB_05_CN_KEYPAD/Page_KeyManager ver.2/input__id""), ""FC00001854"")",Chrome 94.0.4606.71,,,2021-10-08 09:48:21,2021-10-08 09:48:23,2.121s,PASSED
"setEncryptedText(findTestObject(""Object Repository/KM/OR_KM_WEB_05_CN_KEYPAD/Page_KeyManager ver.2/input__password""), ""/TCuZW3inmPEvew6k7Utpg=="")",Chrome 94.0.4606.71,,,2021-10-08 09:48:23,2021-10-08 09:48:24,0.546s,PASSED
